episode,global_step,step,action_id,action_type,difficulty,modality,reward,correct,mastery_gain,mastery_mean
2,293,130,66,question,0,,1.0156239180950204,True,0.031247836190040946,0.41470935304706424
2,294,131,45,question,0,,1.0156237289325956,True,0.031247457865191088,0.415750934975904
2,295,132,81,question,0,,1.0156202956357787,True,0.03124059127155754,0.4167922880182892
2,296,133,30,question,0,,1.0155601739891726,True,0.03112034797834512,0.4178296329509007
2,297,134,0,question,0,,1.0155508552103696,True,0.03110171042073903,0.418866356631592
2,298,135,54,question,0,,1.0155318716773916,True,0.031063743354782937,0.41990181474341814
2,299,136,6,question,0,,1.0154955953076232,True,0.03099119061524641,0.420934854430593
2,300,137,84,question,0,,1.0154711078952843,True,0.030942215790568495,0.42196626162361195
2,301,138,42,question,0,,-0.03,False,0.0,0.42196626162361195
2,302,139,42,question,0,,1.000442560099533,True,0.03088512019906578,0.4229957656302475
2,303,140,9,question,0,,-0.045000000000000005,False,0.0,0.4229957656302475
3,304,1,3,question,0,,1.024063515783747,True,0.04812703156749383,0.25772655801561306
3,305,2,60,question,0,,1.0239346913003669,True,0.0478693826007336,0.25932220410230417
3,306,3,51,question,0,,1.0239206825803198,True,0.047841365160639714,0.2609169162743255
3,307,4,66,question,0,,-0.03,False,0.0,0.2609169162743255
3,308,5,66,question,0,,-0.06,False,0.0,0.2609169162743255
3,309,6,66,question,0,,-0.09000000000000001,False,0.0,0.2609169162743255
3,310,7,66,question,0,,0.9485690550053034,True,0.0471381100106066,0.2624881866080124
3,311,8,81,question,0,,0.9631234992472175,True,0.046246998494434935,0.26402975322449357
3,312,9,72,question,0,,-0.09000000000000001,False,0.0,0.26402975322449357
3,313,10,72,question,0,,0.9480399183757293,True,0.04607983675145867,0.2655657477828755
3,314,11,69,question,0,,0.9628627435609505,True,0.04572548712190119,0.26708993068693887
3,315,12,3,question,0,,0.9778603399945595,True,0.045720679989119134,0.26861395335324284
3,316,13,30,question,0,,0.9928203786336043,True,0.045640757267208704,0.27013531192881646
3,317,14,60,question,0,,-0.06000000000000002,False,0.0,0.27013531192881646
3,318,15,60,question,0,,-0.09000000000000001,False,0.0,0.27013531192881646
3,319,16,60,question,0,,0.9477379567353486,True,0.04547591347069692,0.27165117571117303
3,320,17,51,question,0,,0.9627246484513039,True,0.045449296902607725,0.2731661522745933
3,321,18,9,question,0,,-0.09000000000000001,False,0.0,0.2731661522745933
3,322,19,9,question,0,,0.9474883022997023,True,0.044976604599404536,0.2746653724279068
3,323,20,66,question,0,,0.9623906022550381,True,0.04478120451007627,0.2761580792449093
3,324,21,78,question,0,,0.9772382748530314,True,0.04447654970606287,0.2776406309017781
3,325,22,81,question,0,,0.9919673242848566,True,0.043934648569713186,0.2791051191874352
3,326,23,72,question,0,,-0.06000000000000002,False,0.0,0.2791051191874352
3,327,24,72,question,0,,-0.09000000000000001,False,0.0,0.2791051191874352
3,328,25,72,question,0,,0.9468879224569429,True,0.04377584491388574,0.28056431401789805
3,329,26,69,question,0,,0.961719606382903,True,0.04343921276580613,0.28201228777675824
3,330,27,3,question,0,,-0.09000000000000001,False,0.0,0.28201228777675824
3,331,28,3,question,0,,-0.12,False,0.0,0.28201228777675824
3,332,29,3,question,0,,0.9167173229948316,True,0.04343464598966318,0.283460109309747
3,333,30,30,question,0,,0.9316793597019241,True,0.043358719403848264,0.28490539995654196
3,334,31,18,question,0,,-0.12,False,0.0,0.28490539995654196
3,335,32,18,question,0,,0.9166435173773828,True,0.04328703475476564,0.2863483011150342
3,336,33,60,question,0,,0.9316010588985811,True,0.04320211779716207,0.28778837170827287
3,337,34,51,question,0,,0.9465884160287388,True,0.04317683205747734,0.28922759944352217
3,338,35,9,question,0,,-0.10500000000000002,False,0.0,0.28922759944352217
3,339,36,9,question,0,,0.9313638871847172,True,0.04272777436943431,0.29065185858917
3,340,37,66,question,0,,0.9462710721422861,True,0.04254214428457246,0.2920699300653224
3,341,38,12,question,0,,0.9611819098209557,True,0.04236381964191159,0.2934820573867194
